name,pctwhite,pctblack,pctapi,pctaian,pcthispanic
,3.43,(S),85.59,(S),2.23
,5.49,(S),93.31,0,0
,95.88,(S),(S),(S),1.89
,95.37,(S),1.2,(S),1.2
,94.68,(S),(S),0,4.63
,77.87,14.24,(S),(S),4.12
,8.75,(S),(S),1.89,87.99
,94.34,0,(S),(S),4.46
,18.01,(S),1.2,1.2,78.22
,92.8,1.89,(S),(S),2.57
,95.54,(S),(S),0,2.92
,92.45,1.54,(S),(S),4.63
,88.34,6.86,(S),(S),3.26
,74.96,18.7,(S),(S),2.23
,95.71,(S),(S),0,2.4
,96.23,0,(S),(S),1.2
,74.44,2.74,4.8,0,5.66
,71.18,24.7,(S),(S),1.37
,95.71,0,(S),(S),2.23
,8.23,1.54,(S),0,89.54
,95.37,(S),(S),(S),2.92
,1.72,(S),(S),(S),97.08
,96.4,(S),(S),0,1.72
,91.25,(S),(S),1.2,2.92
,96.74,0,(S),0,1.89
,96.4,(S),(S),(S),1.89
,94.68,(S),(S),1.2,2.06
,81.3,14.75,(S),(S),1.54
,94.68,(S),0,(S),2.06
,0.86,(S),97.6,0,(S)
,96.05,(S),(S),0,2.4
,97.43,(S),0,0,1.89
,95.71,0,0,0,1.72
,91.94,(S),(S),1.2,3.6
,97.6,0,(S),0,1.2
,92.97,(S),1.2,(S),2.23
,57.12,37.39,(S),(S),3.6
,97.08,(S),0.86,(S),0.86
,95.36,(S),(S),0,3.78
,2.92,(S),(S),0,95.7
,35.91,52.92,(S),(S),4.12
,85.05,6.19,(S),(S),3.61
,95.53,(S),(S),(S),2.41
,22.85,65.12,(S),(S),6.19
,95.36,0.86,(S),(S),2.41
,94.85,0,(S),0.86,3.61
,92.44,1.37,(S),(S),3.26
,37.8,54.81,(S),(S),1.89
,94.33,1.37,(S),(S),2.06
,97.25,0,(S),(S),1.37
,95.36,(S),(S),(S),2.23
,95.53,(S),(S),(S),0.86
,97.59,(S),(S),0,(S)
,21.13,3.78,59.62,(S),12.54
,95.36,0,1.03,0,2.58
,1.2,93.64,(S),(S),2.23
,90.89,3.26,1.03,(S),3.44
,97.08,0,(S),(S),1.37
,93.13,1.37,0.86,(S),3.78
,(S),(S),(S),0,98.45
,56.36,39.69,(S),(S),1.2
,94.33,(S),1.03,(S),1.37
,77.32,9.11,3.44,(S),8.25
,40.55,11.17,1.2,0,45.02
,73.02,19.76,(S),(S),2.58
,95.02,(S),1.72,(S),1.2
,5.67,1.2,91.07,(S),(S)
,95.36,1.03,(S),0,2.23
,95.36,(S),1.03,(S),2.06
,98.28,0,(S),(S),(S)
,95.36,(S),(S),0,4.12
,14.09,1.37,(S),0,84.19
,89.69,(S),1.03,(S),6.19
,3.26,(S),(S),0,95.88
,85.22,1.03,2.92,0,8.59
,94.33,(S),0.86,(S),2.06
,96.39,(S),(S),0,1.72
,73.88,17.53,(S),(S),5.15
,97.08,(S),0,1.03,0.86
,2.75,0,0,(S),96.74
,3.44,85.74,7.73,(S),(S)
,89.86,1.89,1.2,0.86,3.26
,93.47,0,1.2,0,3.09
,97.42,(S),(S),0,0.86
,8.76,(S),0,0,90.21
,89.52,(S),2.23,0,7.04
,95.7,0,1.03,0,1.89
,91.58,(S),(S),(S),4.98
,95.7,(S),1.2,(S),1.72
,89.69,(S),1.72,(S),7.22
,26.16,0,(S),(S),71.08
,70.57,23.75,(S),(S),3.1
,95.35,0,(S),(S),2.41
,17.56,1.89,(S),0,80.38
,9.12,83.13,2.07,(S),3.96
,94.32,0,(S),(S),3.61
,95.01,1.2,0.86,(S),2.24
,1.03,0,0,0,98.97
,72.12,18.42,1.89,(S),6.37
,2.24,(S),95.87,(S),(S)
,25.65,69.19,(S),(S),1.38
,78.31,3.96,8.43,(S),7.75
,97.07,(S),0,0.86,1.38
,76.59,3.61,3.79,0,13.77
,1.55,(S),(S),0,97.76
,71.26,21.69,(S),(S),3.1
,97.25,(S),(S),(S),1.38
,94.84,(S),(S),(S),2.24
,5.51,(S),86.4,(S),1.72
,93.63,(S),(S),0,3.96
,97.25,(S),(S),0,1.2
,85.71,(S),(S),10.15,1.2
,90.53,2.58,0,1.03,3.96
,96.73,(S),(S),(S),1.55
,93.29,(S),1.72,(S),2.24
,65.92,23.58,(S),(S),5.85
,42,52.32,(S),(S),3.1
,66.78,27.54,(S),(S),2.58
,92.94,(S),(S),(S),2.41
,91.05,2.24,(S),(S),4.3
,48.36,40.96,(S),(S),3.79
,55.94,3.27,12.56,(S),26.51
,95.35,0,(S),(S),2.07
,90.53,1.89,(S),(S),3.79
,93.29,(S),(S),(S),2.07
,94.15,(S),(S),1.03,3.44
,98.45,0,(S),0,1.03
,87.78,7.23,(S),(S),2.58
,94.84,(S),(S),(S),3.27
,97.42,0,(S),0,(S)
,94.84,(S),(S),(S),1.2
,97.42,(S),0,0,2.07
,97.25,(S),1.03,0,1.03
,93.8,(S),0.86,(S),2.07
,78.83,12.91,(S),(S),3.44
,85.89,9.64,(S),(S),2.41
,94.84,(S),0.86,0,3.44
,77.8,4.99,9.98,0,4.65
,96.73,(S),(S),0,(S)
,92.43,(S),1.03,(S),3.96
,96.21,(S),(S),(S),1.72
,96.9,(S),(S),0,1.72
,97.76,0,0,0,1.38
,96.04,1.03,(S),0,2.07
,70.91,17.56,0.86,1.55,7.06
,97.93,(S),(S),0,(S)
,93.98,(S),2.07,(S),1.72
,77.8,(S),2.41,0,(S)
,3.96,41.31,44.41,(S),(S)
,95,(S),(S),(S),3.62
,88.79,1.55,1.55,0,6.38
,33.28,28.62,(S),28.79,(S)
,66.72,31.55,(S),(S),0
,93.62,0.86,(S),(S),2.41
,6.55,(S),27.41,(S),59.66
,93.45,2.24,(S),(S),1.9
,5.69,(S),78.79,(S),6.21
,96.72,0,0,0,2.41
,88.97,5.86,(S),1.38,2.93
,94.66,(S),(S),0,3.97
,94.31,(S),0.86,(S),2.76
,96.38,0,(S),(S),1.55
,95.34,0,(S),(S),1.21
,96.38,(S),1.03,0,1.21
,62.93,5.17,(S),20.17,(S)
,93.62,(S),(S),0,5
,73.1,22.24,(S),(S),1.72
,92.93,(S),1.38,(S),3.62
,96.38,(S),(S),(S),2.41
,91.03,3.28,(S),(S),2.76
,20.17,(S),(S),0,78.1
,3.28,1.21,90.86,(S),(S)
,7.93,(S),2.07,(S),89.14
,94.83,(S),(S),0,2.24
,77.59,(S),0.86,(S),20.17
,95,(S),(S),0,3.1
,25,66.55,0.86,1.38,2.24
,94.31,(S),1.03,(S),2.59
,96.03,(S),0.86,(S),1.03
,96.38,(S),1.03,(S),1.21
,93.97,(S),1.03,(S),1.9
,69.83,22.41,(S),(S),4.14
,3.1,(S),92.41,(S),0.86
,92.93,(S),0.86,(S),4.48
,19.66,9.14,61.03,0,2.24
,97.76,0,(S),(S),1.03
,1.03,96.38,(S),0,(S)
,92.93,1.21,0.86,0.86,1.72
,60.52,10.17,11.9,(S),13.45
,89.83,(S),(S),(S),8.28
,68.28,27.41,(S),(S),1.72
,1.72,(S),94.48,(S),0
,93.79,1.55,(S),(S),1.9
,98.62,(S),0,0,(S)
,92.93,(S),(S),0,5.17
,96.72,(S),(S),(S),1.21
,94.48,0,(S),(S),1.72
,85.17,10.34,(S),(S),2.07
,6.9,0,0,0,93.1
,91.38,0,(S),(S),6.9
,7.43,86.7,(S),(S),3.11
,89.98,3.11,(S),(S),2.76
,39.72,56.82,(S),(S),1.04
,92.57,0,(S),(S),6.04
,93.26,(S),(S),(S),4.49
,93.44,(S),(S),(S),4.66
,94.3,0,0,0.86,3.8
,86.01,9.5,(S),(S),1.9
,95.85,0,1.21,(S),1.73
,30.22,62.69,(S),(S),3.28
,91.36,3.8,0.86,0,2.07
,91.19,3.63,(S),1.04,(S)
,3.11,(S),0,0,96.37
,95.34,(S),(S),1.21,2.07
,94.65,(S),(S),(S),2.59
,92.92,(S),1.9,(S),2.76
,15.2,69.6,(S),(S),7.77
,95.16,(S),(S),(S),3.28
,92.57,(S),1.04,0,5.7
,94.65,(S),(S),0,2.42
,95.34,0,(S),(S),2.59
,97.06,(S),(S),0,(S)
,4.49,(S),91.88,0,(S)
,96.89,0,(S),(S),1.55
,94.99,(S),(S),0,3.11
,95.51,(S),(S),(S),1.21
,97.58,0,(S),(S),1.38
,93.61,(S),(S),(S),3.8
,94.13,(S),(S),1.21,2.94
,52.16,39.38,0.86,0,3.11
,95.51,(S),1.04,(S),2.07
,94.47,(S),1.38,(S),0.86
,98.45,(S),(S),(S),0.86
,96.89,0,(S),(S),1.38
,93.96,(S),0.86,(S),2.07
,88.43,2.76,(S),(S),5.01
,88.08,4.66,1.38,(S),4.32
,91.71,0.86,(S),(S),5.87
,2.07,(S),0,(S),97.75
,97.24,(S),(S),0,(S)
,96.03,(S),1.55,(S),(S)
,94.47,0,(S),(S),3.97
,94.82,1.21,(S),(S),1.55
,7.6,3.45,75.47,0,8.29
,79.62,14.85,(S),(S),3.45
,92.75,(S),1.21,2.76,2.25
,22.63,3.11,67.88,4.49,(S)
,93.26,0,0,0,5.35
,97.93,(S),(S),0,1.04
,81.52,7.94,(S),(S),6.74
,95.16,(S),0.86,(S),2.76
,96.2,(S),(S),(S),1.73
,91.71,0,0,5.35,1.55
,97.06,0,(S),(S),1.21
,96.2,0,(S),(S),0.86
,93.26,(S),0.86,(S),2.42
,95.85,(S),(S),0,3.11
,93.96,(S),(S),(S),3.97
,97.06,0,0.86,(S),(S)
,97.24,1.21,(S),0,1.04
,96.55,(S),(S),0,1.38
,94.65,(S),(S),(S),1.38
,82.73,7.25,3.97,0,2.59
,1.55,1.04,1.04,(S),95.51
,83.77,9.67,(S),(S),2.94
,23.32,66.32,(S),(S),2.94
,54.23,33.68,0,5.01,5.7
,92.39,(S),(S),(S),4.5
,95.67,0,(S),0,3.81
,52.94,22.32,16.44,(S),(S)
,63.15,3.11,26.64,(S),5.36
,83.04,11.94,(S),(S),3.11
,95.67,(S),1.73,(S),1.04
,96.54,(S),(S),(S),1.73
,95.5,0,(S),(S),2.94
,94.46,(S),(S),(S),2.6
,95.33,(S),1.04,(S),2.42
,97.75,(S),0.87,0,(S)
,89.97,1.9,(S),0,7.44
,93.43,1.56,(S),(S),1.56
,62.28,4.67,16.61,(S),13.32
,10.9,1.04,74.57,0,5.02
,95.16,(S),(S),1.21,1.56
,94.46,(S),(S),0,4.84
,99.13,(S),0,0,(S)
,93.94,(S),(S),1.04,1.9
,97.4,(S),(S),(S),1.38
,91.52,(S),1.04,(S),6.06
,94.81,0,1.38,(S),(S)
,97.06,(S),(S),(S),1.04
,97.4,(S),(S),(S),1.21
,94.46,0,(S),(S),4.67
,86.33,2.42,1.73,0,6.75
,75.26,18.34,(S),(S),1.73
,91.7,(S),0.87,(S),6.06
,41,51.56,4.15,(S),2.6
,6.23,(S),(S),0,93.6
,95.16,(S),(S),(S),1.73
,2.08,95.16,(S),(S),1.38
,87.02,10.55,(S),0,1.73
,3.11,(S),(S),0,96.71
,94.12,(S),(S),1.04,3.11
,96.71,(S),(S),0,2.42
,92.39,(S),2.77,(S),3.11
,95.67,(S),2.6,(S),(S)
,77.85,17.13,(S),1.04,2.77
,97.23,(S),0,(S),1.21
,67.99,(S),(S),23.36,3.98
,94.81,(S),0.87,(S),2.6
,95.16,(S),(S),0,2.77
,96.02,0,0.87,(S),2.42
,96.19,(S),(S),0,2.94
,3.98,(S),86.33,(S),5.54
,93.25,(S),(S),0,5.54
,94.12,(S),0.87,(S),2.94
,96.89,0,(S),0,2.6
,70.93,11.25,(S),(S),14.53
,93.77,2.6,(S),(S),1.38
,56.75,37.54,0,0,3.29
,90.48,(S),6.57,(S),1.9
,92.21,(S),(S),0,4.5
,92.04,3.11,(S),(S),1.56
,98.44,(S),0,0,(S)
,98.1,0,0,(S),1.04
,79.9,15.77,(S),(S),1.56
,12.31,1.39,(S),(S),85.27
,83.19,11.96,(S),(S),2.43
,87.69,5.03,(S),(S),5.55
,88.39,8.32,(S),(S),1.73
,97.05,(S),(S),0.87,0.87
,90.99,5.55,(S),(S),1.39
,57.71,(S),(S),(S),39.34
,93.24,(S),(S),1.91,3.29
,96.01,(S),1.21,(S),1.21
,9.36,(S),(S),0,90.29
,88.56,3.81,(S),(S),3.47
,90.81,2.43,(S),(S),2.43
,4.85,0,1.91,(S),92.55
,90.99,(S),1.91,(S),3.47
,96.36,(S),1.39,0,1.73
,94.28,2.6,(S),(S),1.21
,95.32,(S),1.56,(S),1.56
,93.93,(S),1.56,(S),2.25
,28.94,3.12,49.91,0,3.64
,76.78,(S),11.27,(S),1.56
,61.7,28.77,(S),(S),4.68
,95.49,0,(S),(S),2.43
,95.15,(S),(S),0,3.12
,93.24,(S),2.95,(S),2.25
,88.73,(S),1.91,(S),4.68
,97.05,(S),(S),(S),1.56
,95.84,(S),(S),0,2.6
,2.08,(S),93.24,(S),(S)
,90.99,5.89,1.04,(S),(S)
,91.51,2.77,1.21,1.73,1.91
,93.24,(S),1.56,(S),3.12
,91.33,(S),(S),(S),6.07
,94.63,(S),1.39,0.87,2.6
,93.41,0,(S),(S),3.99
,96.01,0,(S),(S),2.25
,96.53,(S),1.21,(S),0.87
,94.28,(S),(S),0,2.95
,93.76,(S),1.04,(S),3.12
,92.37,1.91,(S),0,5.03
,85.62,3.29,(S),6.07,3.47
,91.68,(S),5.72,(S),1.21
,(S),0,98.27,0,(S)
,94.8,1.39,1.04,(S),1.73
,66.9,2.08,24.96,0,4.33
,90.99,6.76,(S),0,1.21
,95.15,(S),0.87,0,3.12
,3.12,(S),12.13,0.87,83.54
,95.15,(S),(S),1.56,1.56
,97.57,0,(S),(S),(S)
,96.53,(S),0.87,(S),1.39
,97.4,(S),(S),0,1.39
,66.67,28.3,(S),(S),1.74
,96.18,(S),(S),1.04,1.39
,95.83,0.87,(S),0,2.26
,94.27,(S),(S),0.87,2.43
,60.24,(S),34.55,(S),2.08
,3.3,68.92,15.1,0.87,6.94
,91.32,(S),2.95,(S),2.26
,84.03,5.9,3.99,0,3.13
,6.25,8.16,78.99,0.87,1.22
,94.62,(S),(S),0.87,2.43
,96.35,(S),(S),0,1.91
,9.03,(S),0,(S),89.76
,95.66,0,(S),(S),2.6
,94.27,0,0,1.39,3.3
,86.28,(S),1.22,(S),2.95
,5.56,(S),(S),(S),93.58
,95.49,(S),0.87,(S),1.39
,94.97,(S),1.04,(S),2.08
,94.79,(S),(S),(S),2.78
,93.58,(S),(S),1.39,2.08
,94.27,0,0.87,0,3.47
,36.11,(S),(S),38.37,20.66
,95.14,1.04,(S),(S),2.78
,92.53,(S),1.74,(S),2.78
,93.4,(S),(S),0,3.99
,97.4,0,(S),0,2.08
,70.49,25.87,(S),(S),1.91
,88.72,3.99,(S),(S),3.3
,95.66,(S),0.87,(S),1.56
,95.14,0,(S),(S),3.99
,87.33,6.42,(S),(S),4.17
,94.27,(S),0.87,(S),3.3
,93.06,0.87,1.74,1.04,2.43
,82.29,(S),(S),0.87,14.58
,96.18,(S),(S),(S),2.78
,92.01,0.87,(S),(S),4.34
,94.79,(S),(S),(S),3.47
,60.94,7.81,3.82,(S),25.17
,11.81,(S),76.22,(S),4.86
,93.23,(S),1.39,0,4.17
,74.83,13.02,(S),(S),6.25
,24.83,0,1.04,0,74.13
,91.15,6.08,(S),(S),1.39
,85.57,1.74,(S),(S),9.57
,93.22,(S),1.22,(S),2.61
,94.09,(S),(S),(S),4.7
,81.39,11.13,0.87,1.91,3.48
,84.87,13.57,(S),0,(S)
,93.91,(S),0.87,(S),2.09
,93.22,1.22,(S),(S),4.35
,93.57,(S),(S),0,3.83
,93.39,(S),1.04,(S),4.52
,94.96,(S),(S),0,3.13
,95.48,(S),(S),0.87,1.91
,89.57,4.7,(S),(S),3.3
,96,(S),(S),0,2.43
,50.43,2.61,(S),0,46.26
,95.48,(S),(S),(S),1.39
,92.17,1.39,(S),(S),4.35
,97.74,0,(S),0,1.91
,97.74,(S),(S),0,0.87
,98.96,0,(S),(S),(S)
,94.96,(S),1.57,(S),1.74
,93.74,(S),(S),(S),4
,22.78,15.48,1.04,0.87,58.43
,55.48,39.83,(S),(S),2.61
,97.22,(S),(S),0,1.91
,89.74,(S),(S),1.04,5.57
,8.35,0.87,76.35,0,2.96
,6.78,(S),(S),0,93.04
,97.91,0,(S),(S),(S)
,94.61,1.22,(S),(S),1.57
,94.09,0,(S),0,5.22
,97.74,0.87,(S),0,0.87
,96,(S),0.87,(S),2.09
,96.17,(S),(S),0,2.26
,74.61,2.26,19.13,(S),(S)
,91.13,(S),0.87,(S),5.74
,95.65,(S),(S),(S),(S)
,96.52,(S),(S),0,1.39
,96.17,0.87,1.04,(S),1.22
,93.22,(S),0.87,(S),2.61
,(S),96.7,(S),(S),1.22
,4.52,(S),7.3,0,86.96
,94.96,(S),(S),(S),3.48
,96.17,(S),(S),(S),2.09
,94.26,(S),(S),1.04,1.91
,96.52,(S),(S),0,1.39
,96.35,(S),(S),(S),1.91
,96.52,(S),(S),(S),1.74
,97.39,(S),(S),0,1.39
,96.69,1.05,(S),0,1.39
,95.12,(S),1.39,0,(S)
,25.78,(S),5.92,(S),66.2
,5.75,31.36,46.52,1.74,5.05
,19.51,(S),(S),0,79.79
,52.44,41.99,0,0,2.61
,89.9,(S),(S),6.27,2.09
,93.38,(S),(S),1.05,2.96
,96.52,0,1.05,(S),1.74
,2.26,(S),(S),0,97.56
,9.76,(S),1.05,(S),87.63
,73.52,1.57,18.29,0,0.87
,98.61,0,0,0,1.39
,92.86,(S),(S),0,2.96
,49.83,(S),(S),0,48.95
,92.68,(S),1.57,(S),4.18
,91.81,(S),(S),1.92,3.14
,93.9,(S),(S),2.26,1.92
,96.17,(S),0,0,2.96
,95.3,0,0.87,0,2.44
,7.67,1.22,12.02,(S),78.57
,76.83,15.33,(S),(S),3.14
,26.48,64.63,2.61,0,2.09
,4.01,(S),90.77,1.57,(S)
,93.03,(S),0.87,(S),3.14
,92.86,(S),(S),(S),4.88
,33.1,(S),59.06,(S),4.36
,2.96,0,82.4,0,2.79
,24.39,72.13,(S),(S),1.05
,78.4,0.87,5.4,0,2.96
,66.03,1.22,21.08,0,3.14
,93.73,(S),1.05,(S),2.61
,93.03,1.57,0.87,1.05,2.09
,89.72,(S),(S),2.26,4.18
,95.47,(S),0.87,1.74,1.57
,91.64,2.96,(S),(S),3.48
,83.28,8.54,1.39,0,3.48
,97.39,0,1.05,(S),0.87
,91.64,3.66,(S),(S),1.57
,96.34,(S),0.87,0.87,(S)
,96.86,0,(S),(S),1.57
,48.61,46.52,(S),(S),1.22
,97.56,(S),(S),0,1.05
,95.64,(S),(S),0,2.96
,74.56,(S),22.3,(S),1.22
,2.61,(S),0,(S),96.34
,76.48,18.12,(S),1.74,1.57
,94.6,(S),(S),1.05,1.74
,93.73,0,(S),(S),3.66
,98.43,(S),0,0,(S)
,92.67,(S),(S),0,2.62
,(S),(S),0,0,99.3
,90.23,(S),1.4,(S),3.14
,81.5,9.42,2.97,(S),3.84
,66.14,27.23,(S),(S),4.01
,95.81,(S),1.75,(S),0.87
,91.62,1.75,(S),(S),3.66
,95.81,(S),1.05,(S),2.09
,79.41,15.53,(S),(S),1.57
,95.29,0.87,(S),0.87,2.09
,69.11,(S),17.45,(S),10.12
,93.19,(S),1.05,(S),3.66
,82.72,10.3,(S),2.09,(S)
,96.68,(S),0,0,2.79
,94.42,1.4,(S),(S),1.75
,93.89,(S),2.09,(S),1.92
,93.19,2.62,(S),(S),2.62
,97.03,0,(S),(S),1.4
,7.85,(S),65.45,(S),23.56
,95.81,(S),(S),0,2.62
,96.34,(S),(S),(S),2.09
,88.31,1.4,4.01,0,1.05
,97.03,(S),(S),(S),(S)
,97.91,(S),(S),0,1.05
,88.66,(S),1.05,(S),2.62
,91.1,(S),(S),1.92,3.14
,14.14,72.95,(S),(S),8.9
,94.24,0,(S),2.62,(S)
,81.68,13.09,(S),(S),2.44
,98.43,(S),(S),0,1.4
,63.18,32.64,0.87,0,1.75
,93.89,(S),(S),0,2.27
,56.72,1.4,37,0,2.44
,86.21,8.2,(S),(S),3.49
,95.99,0,0.87,(S),2.62
,96.16,(S),(S),(S),2.62
,94.76,(S),1.22,(S),2.09
,96.16,(S),(S),0,2.27
,94.76,0,1.05,(S),2.97
,89.53,(S),(S),(S),5.93
,93.89,0.87,(S),(S),3.14
,94.24,(S),2.27,(S),1.05
,92.67,(S),0.87,(S),5.06
,95.81,(S),(S),0,2.62
,94.59,(S),1.05,(S),2.79
,92.5,1.92,(S),(S),2.09
,95.46,(S),0.87,(S),1.4
,93.54,(S),(S),(S),2.97
,(S),(S),96.68,1.05,0
,86.56,9.08,(S),(S),1.92
,95.99,(S),(S),0.87,1.05
,96.86,(S),(S),(S),1.75
,94.76,(S),(S),0,3.49
,95.64,(S),(S),(S),2.62
,93.19,(S),(S),0,2.44
,95.29,(S),0.87,(S),1.57
,93.19,(S),(S),0,3.32
,94.42,(S),1.92,(S),1.05
,96.5,(S),(S),0,2.97
,8.57,0,26.22,0,14.16
,91.43,(S),(S),0,6.29
,95.28,(S),0,(S),3.67
,95.45,(S),0.87,0,(S)
,95.98,(S),(S),0,2.62
,89.86,1.57,(S),(S),7.52
,95.63,(S),0,1.05,2.27
,97.55,(S),(S),0,0.87
,94.23,(S),(S),(S),4.02
,95.63,(S),1.4,(S),1.4
,92.83,(S),(S),2.97,1.05
,4.72,(S),0,0,94.76
,94.41,(S),(S),1.05,2.1
,8.22,1.05,1.57,(S),88.46
,94.23,(S),0.87,(S),2.62
,34.27,38.64,19.23,0,6.99
,92.83,(S),(S),1.75,3.15
,94.06,0,1.05,0,3.67
,97.9,(S),(S),0,1.57
,95.1,(S),(S),0,3.32
,9.79,0,(S),1.05,88.81
,96.33,(S),0,0,2.8
,80.24,13.64,(S),(S),1.92
,96.15,(S),(S),(S),1.22
,96.15,0,(S),0,2.62
,95.98,(S),0.87,1.57,1.05
,97.03,(S),1.05,(S),0.87
,95.28,(S),0,(S),2.1
,98.43,0,(S),0,(S)
,90.38,3.5,(S),(S),3.85
,8.74,1.57,2.45,(S),85.84
,98.43,0,(S),0,1.05
,91.96,(S),(S),0,6.12
,95.8,(S),(S),0,2.8
,94.06,(S),1.22,(S),2.45
,27.8,(S),1.05,(S),69.93
,93.71,(S),0.87,(S),3.85
,95.63,0,(S),(S),2.8
,49.83,42.13,(S),(S),3.15
,51.75,3.15,18.71,12.24,11.19
,95.98,(S),(S),1.22,1.05
,97.38,0,0,0,1.22
,10.84,82.52,0,(S),(S)
,94.58,(S),(S),1.05,1.4
,94.93,(S),(S),0,3.5
,92.83,0,0.87,1.05,4.2
,88.99,(S),2.27,(S),2.45
,92.13,2.62,(S),(S),3.67
,96.15,1.4,(S),0,2.1
,98.43,(S),(S),0,0.87
,74.08,19.61,(S),(S),2.98
,5.08,86.34,(S),(S),3.33
,94.75,0,(S),(S),3.85
,37.3,(S),9.63,(S),51.84
,92.12,1.4,(S),0,5.78
,96.5,0,0,1.4,1.23
,92.99,(S),0,0,6.13
,94.57,(S),(S),1.05,2.1
,8.41,(S),69.88,(S),7.71
,95.27,(S),0.88,(S),0.88
,2.1,(S),83.36,(S),6.3
,96.32,(S),(S),0,1.23
,93.7,(S),(S),(S),2.28
,94.22,(S),(S),(S),4.55
,84.06,12.61,(S),(S),1.4
,3.33,(S),92.29,(S),1.23
,93.52,(S),(S),(S),4.2
,97.37,(S),(S),0,1.05
,95.8,(S),(S),(S),2.63
,95.62,(S),1.93,(S),0.88
,98.07,(S),(S),0,(S)
,94.05,0,(S),(S),5.25
,94.22,1.93,(S),0,2.8
,1.93,93.87,(S),(S),1.58
,97.37,(S),(S),(S),0.88
,11.56,(S),61.47,(S),21.37
,98.25,(S),(S),(S),(S)
,67.43,(S),(S),21.54,3.5
,96.67,0,0.88,(S),(S)
,98.6,0,(S),0,(S)
,98.77,(S),(S),(S),(S)
,93.17,(S),(S),0,6.3
,88.27,6.65,(S),(S),3.15
,81.96,12.08,(S),1.23,(S)
,88.79,2.98,0.88,1.05,3.5
,(S),(S),98.77,(S),0
,58.84,33.8,(S),(S),5.08
,93.17,2.8,(S),1.23,1.58
,97.37,0,(S),(S),0.88
,96.85,(S),0,(S),2.28
,1.93,(S),(S),(S),97.37
,96.5,0,(S),(S),(S)
,95.62,0,0.88,(S),(S)
,92.12,3.15,(S),(S),2.8
,94.22,(S),0.88,(S),1.23
,89.84,3.85,(S),(S),3.15
,97.37,(S),(S),0,1.4
,71.28,3.33,3.68,0.88,19.96
,96.67,0,(S),0,1.93
,92.64,0,(S),(S),5.43
,97.02,(S),(S),0,1.75
,93.35,(S),1.05,(S),3.68
,96.32,(S),(S),0,1.93
,96.67,(S),1.05,(S),1.23
,97.2,0,(S),(S),1.05
,96.32,0.88,(S),(S),1.23
,94.75,(S),(S),(S),2.63
,24.17,19.09,(S),(S),54.47
,5.95,0,(S),0,93.35
,11.03,1.4,(S),0,87.04
,17.69,1.4,6.65,(S),73.73
,3.85,(S),93.87,(S),(S)
,70.75,(S),9.11,(S),6.3
,95.09,(S),(S),(S),2.28
,97.72,0,(S),(S),(S)
,95.44,(S),(S),(S),0.88
,97.37,0,0,0,1.4
,5.09,36.14,45.44,2.28,2.28
,77.37,7.54,7.37,0,3.86
,95.09,1.05,(S),(S),2.28
,97.72,(S),0,(S),(S)
,93.86,(S),(S),(S),3.16
,96.49,(S),(S),0,1.75
,96.49,0.88,(S),(S),(S)
,96.67,(S),0.88,0,(S)
,97.19,0,(S),(S),1.4
,98.6,0,(S),0,(S)
,14.74,79.12,(S),1.05,(S)
,58.25,27.54,6.49,(S),4.74
,96.32,(S),(S),(S),1.05
,97.89,(S),(S),(S),(S)
,94.39,1.93,1.05,0,1.4
,92.81,0,(S),0,6.49
,97.02,(S),(S),(S),1.05
,96.14,(S),(S),0,1.4
,97.19,(S),(S),(S),1.05
,24.21,66.49,1.23,(S),7.19
,75.61,16.14,(S),(S),5.79
,66.84,24.39,(S),(S),4.04
,95.96,1.4,(S),0,2.11
,76.49,20.35,(S),(S),0.88
,88.07,(S),1.93,(S),5.61
,86.32,(S),1.75,(S),6.67
,97.19,(S),(S),(S),0.88
,57.02,37.19,0,1.4,2.11
,64.39,30.35,(S),(S),2.81
,5.79,(S),78.6,(S),3.86
,4.39,89.3,1.4,0,2.81
,98.07,0,(S),0,1.58
,96.67,(S),0.88,0,1.58
,2.98,(S),91.58,(S),1.75
,93.68,2.11,2.28,(S),(S)
,92.46,4.56,(S),(S),0.88
,93.86,(S),(S),0,3.16
,93.51,1.23,(S),(S),2.81
,20.7,4.91,68.42,(S),5.44
,25.44,(S),1.93,(S),70.18
,39.47,52.63,(S),(S),5.26
,95.61,(S),(S),0,3.51
,65.44,27.54,0.88,1.05,2.11
,95.96,(S),(S),(S),1.41
,95.96,(S),(S),(S),2.11
,95.25,(S),(S),(S),2.99
,5.8,(S),25.83,(S),65.73
,70.47,(S),(S),0,29.17
,95.08,(S),(S),(S),2.81
,92.44,(S),0.88,(S),4.57
,91.56,1.23,0.88,0,5.27
,96.66,(S),(S),0,1.41
,96.66,(S),1.23,0,1.76
,98.24,(S),0,0,1.05
,95.78,(S),0.88,0,2.64
,95.25,(S),(S),0,2.64
,12.65,1.05,(S),0,85.76
,64.85,29.35,1.23,0.88,1.76
,65.38,24.96,1.76,0,6.15
,94.38,(S),(S),(S),2.46
,91.74,1.41,(S),(S),5.1
,91.21,0,(S),(S),4.75
,96.84,(S),(S),0,1.76
,55.54,2.11,24.96,(S),16.7
,95.08,(S),(S),(S),3.51
,95.43,(S),1.05,(S),1.76
,95.25,(S),2.11,(S),1.23
,93.85,1.76,1.41,0,1.76
,90.33,(S),0.88,(S),7.21
,92.79,(S),(S),(S),3.87
,86.47,3.87,(S),4.04,(S)
,93.15,0.88,(S),(S),4.22
